FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:04:25 AM;26/01/2019 11:56:24 PM;5601287;Cor 1 Naranja;L10;Ida
27/01/2019 12:04:26 AM;26/01/2019 10:21:01 PM;4929254;Cor 6 Naranja;L62;Vuelta
27/01/2019 12:04:27 AM;26/01/2019 10:39:28 PM;8077401;Cor 5 Amarillo;L50;Vuelta
27/01/2019 12:04:31 AM;26/01/2019 11:11:58 PM;5024237;Cor 6 Naranja;L61;Vuelta
27/01/2019 12:04:32 AM;27/01/2019 12:02:04 AM;5389962;Cor 3 Rojo;L32;Ida
27/01/2019 12:04:36 AM;26/01/2019 10:39:28 PM;8071461;Cor 5 Amarillo;L50;Vuelta
27/01/2019 12:04:37 AM;26/01/2019 10:16:38 PM;5466788;Cor 1 Naranja;L12;Vuelta
27/01/2019 12:04:38 AM;26/01/2019 10:39:28 PM;4320748;Cor 5 Amarillo;L50;Vuelta
27/01/2019 12:04:38 AM;26/01/2019 11:56:06 PM;5600720;Cor 2 Azul;L23;Ida
27/01/2019 12:04:39 AM;26/01/2019 10:39:28 PM;4320748;Cor 5 Amarillo;L50;Vuelta
27/01/2019 12:04:40 AM;26/01/2019 11:39:20 PM;5264137;Cor 5 Amarillo;L53;Ida
27/01/2019 12:04:42 AM;26/01/2019 10:56:19 PM;4489933;Cor 8 Rojo;L80;Vuelta
27/01/2019 12:04:43 AM;26/01/2019 10:39:28 PM;5204049;Cor 5 Amarillo;L50;Vuelta
27/01/2019 12:04:49 AM;26/01/2019 11:26:27 PM;4620008;Cor 8 Rojo;L81;Ida
27/01/2019 12:04:51 AM;26/01/2019 11:47:24 PM;4104006;Cor 6 Naranja;L60;Ida
27/01/2019 12:04:51 AM;26/01/2019 11:26:27 PM;4620008;Cor 8 Rojo;L81;Ida
27/01/2019 12:04:58 AM;26/01/2019 11:25:56 PM;5881578;Cor 1 Naranja;L14;Ida
27/01/2019 12:05:10 AM;26/01/2019 10:10:02 PM;4656817;Cor 3 Rojo;L31;Vuelta
27/01/2019 12:05:11 AM;26/01/2019 10:21:19 PM;8019224;Cor 1 Naranja;L15;Vuelta
27/01/2019 12:05:13 AM;26/01/2019 10:21:19 PM;8019224;Cor 1 Naranja;L15;Vuelta
27/01/2019 12:05:14 AM;26/01/2019 10:28:10 PM;4405137;Cor 7 Azul;L70;Vuelta
27/01/2019 12:05:14 AM;27/01/2019 12:02:50 AM;5016333;Cor 1 Naranja;L16;Vuelta
27/01/2019 12:05:18 AM;26/01/2019 10:28:10 PM;8077328;Cor 7 Azul;L70;Vuelta
27/01/2019 12:05:18 AM;26/01/2019 11:54:13 PM;4751353;Cor 1 Naranja;L17;Ida
27/01/2019 12:05:18 AM;26/01/2019 11:32:03 PM;8096050;Cor 3 Rojo;L36;Ida
27/01/2019 12:05:18 AM;26/01/2019 11:56:24 PM;3040767;Cor 1 Naranja;L10;Ida
27/01/2019 12:05:19 AM;26/01/2019 10:13:02 PM;5108736;Cor 8 Rojo;L82;Vuelta
